timestamp,source,category,business_service,description,severity,status,recommended_action
2026-05-31 01:00:00,SRV-LNX-01,Server Health,Monitoring,"Linux server SRV-LNX-01 is Critical: CPU 91%, memory 47%, disk 43%, latency 167ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 01:00:00,SRV-WIN-01,Server Health,Active Directory,"Windows server SRV-WIN-01 is Warning: CPU 26%, memory 27%, disk 85%, latency 95ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 01:00:00,SRV-WIN-03,Server Health,Patch Management,"Windows server SRV-WIN-03 is Warning: CPU 73%, memory 65%, disk 73%, latency 111ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 01:00:00,Tax_Record_Sync,Production Control,Finance,BPE job Tax_Record_Sync Success; duration 68 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 02:00:00,Tax_Record_Sync,Production Control,Finance,BPE job Tax_Record_Sync Delayed; duration 21 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 02:00:00,SRV-AIX-01,Server Health,Core Banking Ops,"AIX server SRV-AIX-01 is Critical: CPU 59%, memory 40%, disk 95%, latency 79ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 02:00:00,SRV-WIN-03,Server Health,Patch Management,"Windows server SRV-WIN-03 is Warning: CPU 46%, memory 50%, disk 91%, latency 90ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 02:00:00,SRV-WIN-01,Server Health,Active Directory,"Windows server SRV-WIN-01 is Warning: CPU 60%, memory 57%, disk 63%, latency 69ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 02:00:00,SRV-LNX-03,Server Health,Log Aggregation,"Linux server SRV-LNX-03 is Critical: CPU 54%, memory 27%, disk 99%, latency 113ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 02:00:00,SRV-LNX-02,Server Health,API Gateway,"Linux server SRV-LNX-02 is Critical: CPU 91%, memory 78%, disk 81%, latency 102ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 02:00:00,Identity_Verification,Production Control,IAM,TPE job Identity_Verification Delayed; duration 13 min vs SLA 8 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 03:00:00,Benefits_Update,Production Control,HR,BPE job Benefits_Update Failed; duration 5 min vs SLA 45 min.,Critical,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 03:00:00,Tax_Record_Sync,Production Control,Finance,BPE job Tax_Record_Sync Success; duration 52 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 03:00:00,Identity_Verification,Production Control,IAM,TPE job Identity_Verification Failed; duration 18 min vs SLA 8 min.,Critical,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 03:00:00,Payment_Gateway_Check,Production Control,Payments,TPE job Payment_Gateway_Check Delayed; duration 13 min vs SLA 6 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 03:00:00,DOOR-ACCESS-01,Security,Facilities,Door Forced Open detected on DOOR-ACCESS-01 at Main Entrance.,Critical,Open,"Validate facility alert, check redundant systems, and escalate to data center facilities."
2026-05-31 03:00:00,CRAC-01,HVAC,Facilities,Airflow Alert detected on CRAC-01 at Data Hall A.,Critical,Open,"Validate facility alert, check redundant systems, and escalate to data center facilities."
2026-05-31 03:00:00,SRV-LNX-02,Server Health,API Gateway,"Linux server SRV-LNX-02 is Critical: CPU 44%, memory 94%, disk 71%, latency 66ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 03:00:00,SRV-WIN-01,Server Health,Active Directory,"Windows server SRV-WIN-01 is Warning: CPU 47%, memory 26%, disk 85%, latency 27ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 04:00:00,SRV-AIX-02,Server Health,Mainframe Integration,"AIX server SRV-AIX-02 is Critical: CPU 36%, memory 25%, disk 96%, latency 22ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 04:00:00,SRV-LNX-02,Server Health,API Gateway,"Linux server SRV-LNX-02 is Critical: CPU 99%, memory 37%, disk 86%, latency 169ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 04:00:00,SRV-LNX-03,Server Health,Log Aggregation,"Linux server SRV-LNX-03 is Critical: CPU 96%, memory 59%, disk 50%, latency 121ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 04:00:00,SRV-WIN-01,Server Health,Active Directory,"Windows server SRV-WIN-01 is Warning: CPU 38%, memory 47%, disk 71%, latency 55ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 04:00:00,Payment_Gateway_Check,Production Control,Payments,TPE job Payment_Gateway_Check Success; duration 22 min vs SLA 6 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 04:00:00,Identity_Verification,Production Control,IAM,TPE job Identity_Verification Success; duration 15 min vs SLA 8 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 04:00:00,Claims_Processing,Production Control,Insurance,TPE job Claims_Processing Success; duration 14 min vs SLA 10 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 04:00:00,SRV-WIN-02,Server Health,File Services,"Windows server SRV-WIN-02 is Critical: CPU 95%, memory 58%, disk 34%, latency 159ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 04:00:00,Nightly_Backup,Production Control,Backup,BPE job Nightly_Backup Delayed; duration 62 min vs SLA 60 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 04:00:00,Payroll_Process,Production Control,Payroll,BPE job Payroll_Process Failed; duration 51 min vs SLA 45 min.,Critical,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 04:00:00,Benefits_Update,Production Control,HR,BPE job Benefits_Update Success; duration 48 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 05:00:00,SRV-AIX-02,Server Health,Mainframe Integration,"AIX server SRV-AIX-02 is Warning: CPU 88%, memory 38%, disk 36%, latency 34ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 05:00:00,SRV-WIN-03,Server Health,Patch Management,"Windows server SRV-WIN-03 is Critical: CPU 98%, memory 57%, disk 56%, latency 190ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 05:00:00,Benefits_Update,Production Control,HR,BPE job Benefits_Update Delayed; duration 67 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 05:00:00,Identity_Verification,Production Control,IAM,TPE job Identity_Verification Success; duration 11 min vs SLA 8 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 05:00:00,Nightly_Backup,Production Control,Backup,BPE job Nightly_Backup Success; duration 70 min vs SLA 60 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 05:00:00,SRV-LNX-02,Server Health,API Gateway,"Linux server SRV-LNX-02 is Critical: CPU 75%, memory 90%, disk 83%, latency 15ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 05:00:00,SRV-WIN-01,Server Health,Active Directory,"Windows server SRV-WIN-01 is Critical: CPU 97%, memory 31%, disk 83%, latency 165ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 05:00:00,CRAC-01,HVAC,Facilities,Airflow Alert detected on CRAC-01 at Data Hall A.,Medium,Open,"Validate facility alert, check redundant systems, and escalate to data center facilities."
2026-05-31 05:00:00,SRV-WIN-02,Server Health,File Services,"Windows server SRV-WIN-02 is Critical: CPU 91%, memory 72%, disk 32%, latency 121ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 05:00:00,SRV-AIX-01,Server Health,Core Banking Ops,"AIX server SRV-AIX-01 is Warning: CPU 57%, memory 73%, disk 30%, latency 85ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 06:00:00,SRV-AIX-01,Server Health,Core Banking Ops,"AIX server SRV-AIX-01 is Warning: CPU 33%, memory 73%, disk 86%, latency 37ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 06:00:00,Claims_Processing,Production Control,Insurance,TPE job Claims_Processing Success; duration 18 min vs SLA 10 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 06:00:00,DMV_Transactions,Production Control,Citizen Services,TPE job DMV_Transactions Success; duration 12 min vs SLA 10 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 06:00:00,Identity_Verification,Production Control,IAM,TPE job Identity_Verification Success; duration 17 min vs SLA 8 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 06:00:00,SRV-AIX-02,Server Health,Mainframe Integration,"AIX server SRV-AIX-02 is Warning: CPU 39%, memory 48%, disk 85%, latency 46ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 06:00:00,SRV-LNX-03,Server Health,Log Aggregation,"Linux server SRV-LNX-03 is Critical: CPU 98%, memory 39%, disk 62%, latency 163ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 06:00:00,SRV-WIN-01,Server Health,Active Directory,"Windows server SRV-WIN-01 is Critical: CPU 25%, memory 38%, disk 97%, latency 59ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 06:00:00,SRV-WIN-02,Server Health,File Services,"Windows server SRV-WIN-02 is Warning: CPU 38%, memory 54%, disk 87%, latency 47ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 06:00:00,SRV-WIN-03,Server Health,Patch Management,"Windows server SRV-WIN-03 is Critical: CPU 98%, memory 56%, disk 77%, latency 120ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 06:00:00,Benefits_Update,Production Control,HR,BPE job Benefits_Update Success; duration 68 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 07:00:00,SRV-WIN-02,Server Health,File Services,"Windows server SRV-WIN-02 is Critical: CPU 93%, memory 61%, disk 34%, latency 175ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 07:00:00,SRV-WIN-03,Server Health,Patch Management,"Windows server SRV-WIN-03 is Warning: CPU 63%, memory 53%, disk 39%, latency 15ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 07:00:00,Payment_Gateway_Check,Production Control,Payments,TPE job Payment_Gateway_Check Success; duration 12 min vs SLA 6 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 07:00:00,Identity_Verification,Production Control,IAM,TPE job Identity_Verification Success; duration 9 min vs SLA 8 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 07:00:00,DMV_Transactions,Production Control,Citizen Services,TPE job DMV_Transactions Delayed; duration 14 min vs SLA 10 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 07:00:00,Nightly_Backup,Production Control,Backup,BPE job Nightly_Backup Failed; duration 7 min vs SLA 60 min.,Critical,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 07:00:00,Payroll_Process,Production Control,Payroll,BPE job Payroll_Process Success; duration 49 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 08:00:00,Payroll_Process,Production Control,Payroll,BPE job Payroll_Process Success; duration 49 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 08:00:00,Payment_Gateway_Check,Production Control,Payments,TPE job Payment_Gateway_Check Success; duration 16 min vs SLA 6 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 08:00:00,Identity_Verification,Production Control,IAM,TPE job Identity_Verification Success; duration 20 min vs SLA 8 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 08:00:00,DMV_Transactions,Production Control,Citizen Services,TPE job DMV_Transactions Success; duration 12 min vs SLA 10 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 08:00:00,SRV-WIN-02,Server Health,File Services,"Windows server SRV-WIN-02 is Critical: CPU 62%, memory 90%, disk 51%, latency 68ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 08:00:00,SRV-WIN-03,Server Health,Patch Management,"Windows server SRV-WIN-03 is Critical: CPU 71%, memory 71%, disk 97%, latency 76ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 08:00:00,SRV-LNX-01,Server Health,Monitoring,"Linux server SRV-LNX-01 is Warning: CPU 56%, memory 70%, disk 69%, latency 79ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 08:00:00,SRV-LNX-02,Server Health,API Gateway,"Linux server SRV-LNX-02 is Warning: CPU 53%, memory 32%, disk 60%, latency 111ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 08:00:00,SRV-LNX-03,Server Health,Log Aggregation,"Linux server SRV-LNX-03 is Warning: CPU 58%, memory 71%, disk 70%, latency 71ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 09:00:00,Identity_Verification,Production Control,IAM,TPE job Identity_Verification Success; duration 15 min vs SLA 8 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 09:00:00,DMV_Transactions,Production Control,Citizen Services,TPE job DMV_Transactions Failed; duration 14 min vs SLA 10 min.,Critical,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 09:00:00,Tax_Record_Sync,Production Control,Finance,BPE job Tax_Record_Sync Delayed; duration 3 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 09:00:00,SRV-LNX-02,Server Health,API Gateway,"Linux server SRV-LNX-02 is Warning: CPU 19%, memory 59%, disk 31%, latency 69ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 09:00:00,DOOR-ACCESS-01,Security,Facilities,Camera Offline detected on DOOR-ACCESS-01 at Main Entrance.,Critical,Monitoring,"Validate facility alert, check redundant systems, and escalate to data center facilities."
2026-05-31 09:00:00,CRAC-02,HVAC,Facilities,Airflow Alert detected on CRAC-02 at Data Hall B.,Medium,Monitoring,"Validate facility alert, check redundant systems, and escalate to data center facilities."
2026-05-31 09:00:00,CRAC-01,HVAC,Facilities,Airflow Alert detected on CRAC-01 at Data Hall A.,Medium,Open,"Validate facility alert, check redundant systems, and escalate to data center facilities."
2026-05-31 09:00:00,SRV-LNX-03,Server Health,Log Aggregation,"Linux server SRV-LNX-03 is Warning: CPU 47%, memory 38%, disk 43%, latency 58ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 09:00:00,SRV-WIN-02,Server Health,File Services,"Windows server SRV-WIN-02 is Warning: CPU 21%, memory 44%, disk 34%, latency 98ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 10:00:00,DMV_Transactions,Production Control,Citizen Services,TPE job DMV_Transactions Success; duration 15 min vs SLA 10 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 10:00:00,SRV-LNX-01,Server Health,Monitoring,"Linux server SRV-LNX-01 is Warning: CPU 61%, memory 46%, disk 75%, latency 90ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 10:00:00,SRV-WIN-01,Server Health,Active Directory,"Windows server SRV-WIN-01 is Warning: CPU 18%, memory 74%, disk 57%, latency 96ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 10:00:00,SRV-WIN-02,Server Health,File Services,"Windows server SRV-WIN-02 is Warning: CPU 27%, memory 68%, disk 71%, latency 118ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 10:00:00,Payroll_Process,Production Control,Payroll,BPE job Payroll_Process Delayed; duration 7 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 10:00:00,CRAC-01,HVAC,Facilities,Humidity Warning detected on CRAC-01 at Data Hall A.,Medium,Open,"Validate facility alert, check redundant systems, and escalate to data center facilities."
2026-05-31 10:00:00,Identity_Verification,Production Control,IAM,TPE job Identity_Verification Success; duration 14 min vs SLA 8 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 10:00:00,Payment_Gateway_Check,Production Control,Payments,TPE job Payment_Gateway_Check Success; duration 12 min vs SLA 6 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 10:00:00,SRV-LNX-02,Server Health,API Gateway,"Linux server SRV-LNX-02 is Warning: CPU 58%, memory 66%, disk 84%, latency 118ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 10:00:00,Benefits_Update,Production Control,HR,BPE job Benefits_Update Success; duration 49 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 11:00:00,DMV_Transactions,Production Control,Citizen Services,TPE job DMV_Transactions Success; duration 16 min vs SLA 10 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 11:00:00,Identity_Verification,Production Control,IAM,TPE job Identity_Verification Success; duration 21 min vs SLA 8 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 11:00:00,Payroll_Process,Production Control,Payroll,BPE job Payroll_Process Delayed; duration 11 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 12:00:00,SRV-AIX-02,Server Health,Mainframe Integration,"AIX server SRV-AIX-02 is Warning: CPU 86%, memory 57%, disk 38%, latency 111ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 12:00:00,SRV-LNX-01,Server Health,Monitoring,"Linux server SRV-LNX-01 is Critical: CPU 90%, memory 52%, disk 51%, latency 21ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 12:00:00,SRV-LNX-02,Server Health,API Gateway,"Linux server SRV-LNX-02 is Warning: CPU 87%, memory 47%, disk 66%, latency 21ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 12:00:00,SRV-LNX-03,Server Health,Log Aggregation,"Linux server SRV-LNX-03 is Warning: CPU 69%, memory 87%, disk 37%, latency 68ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 12:00:00,Payroll_Process,Production Control,Payroll,BPE job Payroll_Process Success; duration 47 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 12:00:00,Identity_Verification,Production Control,IAM,TPE job Identity_Verification Success; duration 13 min vs SLA 8 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 12:00:00,Nightly_Backup,Production Control,Backup,BPE job Nightly_Backup Delayed; duration 5 min vs SLA 60 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 12:00:00,Payment_Gateway_Check,Production Control,Payments,TPE job Payment_Gateway_Check Success; duration 20 min vs SLA 6 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 13:00:00,SRV-AIX-01,Server Health,Core Banking Ops,"AIX server SRV-AIX-01 is Warning: CPU 46%, memory 52%, disk 44%, latency 51ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 13:00:00,SRV-LNX-03,Server Health,Log Aggregation,"Linux server SRV-LNX-03 is Warning: CPU 37%, memory 39%, disk 61%, latency 91ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 13:00:00,SRV-LNX-02,Server Health,API Gateway,"Linux server SRV-LNX-02 is Warning: CPU 68%, memory 69%, disk 88%, latency 30ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 13:00:00,SRV-AIX-02,Server Health,Mainframe Integration,"AIX server SRV-AIX-02 is Warning: CPU 89%, memory 38%, disk 70%, latency 117ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 13:00:00,SRV-WIN-02,Server Health,File Services,"Windows server SRV-WIN-02 is Warning: CPU 19%, memory 65%, disk 93%, latency 75ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 13:00:00,UPS-02,UPS,Facilities,Battery Warning detected on UPS-02 at Power Room B.,Medium,Resolved,"Validate facility alert, check redundant systems, and escalate to data center facilities."
2026-05-31 13:00:00,DMV_Transactions,Production Control,Citizen Services,TPE job DMV_Transactions Success; duration 14 min vs SLA 10 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 13:00:00,Benefits_Update,Production Control,HR,BPE job Benefits_Update Success; duration 58 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 13:00:00,Payroll_Process,Production Control,Payroll,BPE job Payroll_Process Delayed; duration 4 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 13:00:00,Claims_Processing,Production Control,Insurance,TPE job Claims_Processing Success; duration 15 min vs SLA 10 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 14:00:00,Tax_Record_Sync,Production Control,Finance,BPE job Tax_Record_Sync Delayed; duration 4 min vs SLA 45 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 14:00:00,DMV_Transactions,Production Control,Citizen Services,TPE job DMV_Transactions Success; duration 17 min vs SLA 10 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 14:00:00,Claims_Processing,Production Control,Insurance,TPE job Claims_Processing Delayed; duration 13 min vs SLA 10 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 14:00:00,Payment_Gateway_Check,Production Control,Payments,TPE job Payment_Gateway_Check Success; duration 12 min vs SLA 6 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 14:00:00,SRV-WIN-01,Server Health,Active Directory,"Windows server SRV-WIN-01 is Warning: CPU 69%, memory 32%, disk 30%, latency 26ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 14:00:00,SRV-LNX-02,Server Health,API Gateway,"Linux server SRV-LNX-02 is Critical: CPU 94%, memory 45%, disk 61%, latency 192ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 14:00:00,SRV-AIX-02,Server Health,Mainframe Integration,"AIX server SRV-AIX-02 is Warning: CPU 36%, memory 47%, disk 92%, latency 55ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 14:00:00,Identity_Verification,Production Control,IAM,TPE job Identity_Verification Success; duration 14 min vs SLA 8 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 15:00:00,SRV-WIN-03,Server Health,Patch Management,"Windows server SRV-WIN-03 is Warning: CPU 68%, memory 43%, disk 55%, latency 57ms.",Warning,Monitoring,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
2026-05-31 15:00:00,Claims_Processing,Production Control,Insurance,TPE job Claims_Processing Delayed; duration 13 min vs SLA 10 min.,Warning,Open,"Review job logs, rerun if safe, notify owning team, and track SLA impact."
2026-05-31 15:00:00,SRV-AIX-02,Server Health,Mainframe Integration,"AIX server SRV-AIX-02 is Critical: CPU 68%, memory 95%, disk 49%, latency 89ms.",Critical,Open,"Investigate resource saturation, validate service health, and escalate if SLA-impacting."
